日期,标题,链接,公司名称,股票代码
2026-04-14,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0414/2026041400876_c.pdf,恒大物业,06666
2026-04-08,月報表 截至二零二六年三月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0408/2026040801986_c.pdf,建業地產,00832
2026-04-02,月報表 截至二零二六年三月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0402/2026040200881_c.pdf,恒大物业,06666
2026-03-31,公告及通告 - [其他-業務發展最新情況] 業務更新,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0331/2026033102576_c.pdf,建業地產,00832
2026-03-27,公告及通告 - [末期業績] 截至2025年12月31日止年度全年業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032701437_c.pdf,恒大物业,06666
2026-03-27,公告及通告 - [持續關連交易] 持續關連交易,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032701569_c.pdf,恒大物业,06666
2026-03-27,公告及通告 - [末期業績 / 核數師發出「非標準報告」 / 暫停辦理過戶登記手續或更改暫停辦理過戶日期] 截至2025年12月31日止年度的年度業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703949_c.pdf,建業地產,00832
2026-03-18,公告及通告 - [盈利警告 / 內幕消息] 內幕消息盈利警告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0318/2026031801751_c.pdf,建業地產,00832
2026-03-17,公告及通告 - [董事會召開日期] 董事會會議召開日期,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0317/2026031701461_c.pdf,恒大物业,06666
2026-03-17,公告及通告 - [董事會召開日期] 董事會會議召開日期,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0317/2026031701551_c.pdf,建業地產,00832
2026-03-13,公告及通告 - [內幕消息] 公告2026年2月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0313/2026031301368_c.pdf,建業地產,00832
2026-03-11,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031101051_c.pdf,恒大物业,06666
2026-03-05,月報表 截至二零二六年二月二十八日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0305/2026030500545_c.pdf,恒大物业,06666
2026-03-05,月報表 截至二零二六年二月二十八日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0305/2026030501901_c.pdf,建業地產,00832
2026-02-13,公告及通告 - [內幕消息] 公告2026年1月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0213/2026021301084_c.pdf,建業地產,00832
2026-02-06,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0206/2026020601045_c.pdf,恒大物业,06666
2026-02-05,月報表 截至二零二六年一月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0205/2026020500905_c.pdf,恒大物业,06666
2026-02-03,月報表 截至二零二六年一月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0203/2026020301774_c.pdf,建業地產,00832
2026-01-16,公告及通告 - [更換公司秘書] 公司秘書及授權代表變動,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011601718_c.pdf,建業地產,00832
2026-01-13,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0113/2026011301056_c.pdf,恒大物业,06666
2026-01-13,公告及通告 - [內幕消息] 公告2025年12月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0113/2026011300269_c.pdf,建業地產,00832
2026-01-07,月報表 截至二零二五年十二月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700531_c.pdf,恒大物业,06666
2026-01-07,月報表 截至二零二五年十二月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700529_c.pdf,建業地產,00832
2025-12-31,公告及通告 - [其他-業務發展最新情況] 業務更新,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1231/2025123101104_c.pdf,建業地產,00832
2025-12-19,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1219/2025121900200_c.pdf,恒大物业,06666
2025-12-10,公告及通告 - [內幕消息] 公告2025年11月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1210/2025121000954_c.pdf,建業地產,00832
2025-12-04,月報表 截至二零二五年十一月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1204/2025120400901_c.pdf,恒大物业,06666
2025-12-04,月報表 截至二零二五年十一月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1204/2025120400861_c.pdf,建業地產,00832
2025-11-14,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1114/2025111400110_c.pdf,恒大物业,06666
2025-11-10,公告及通告 - [內幕消息] 公告2025年10月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1110/2025111000234_c.pdf,建業地產,00832
2025-11-07,月報表 截至二零二五年十月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1107/2025110700288_c.pdf,建業地產,00832
2025-11-06,月報表 截至二零二五年十月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1106/2025110600471_c.pdf,恒大物业,06666
2025-10-17,公告及通告 - [內幕消息] 公告2025年9月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1017/2025101700938_c.pdf,建業地產,00832
2025-10-15,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1015/2025101501153_c.pdf,恒大物业,06666
2025-10-15,公告及通告 - [其他-雜項 / 修改已刊發的財務報表及報告] 股份獎勵計劃之澄清公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1015/2025101500886_c.pdf,建業地產,00832
2025-10-08,月報表 截至二零二五年九月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1008/2025100800837_c.pdf,恒大物业,06666
2025-10-06,月報表 截至二零二五年九月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1006/2025100600446_c.pdf,建業地產,00832
2025-09-30,公告及通告 - [其他-業務發展最新情況] 業務更新,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0930/2025093001099_c.pdf,建業地產,00832
2025-09-29,財務報表/環境、社會及管治資料 - [中期/半年度報告] 2025中期報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0929/2025092902393_c.pdf,恒大物业,06666
2025-09-22,通函 - [其他] 致非登記股東之通知信函及回條,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0922/2025092200180_c.pdf,建業地產,00832
2025-09-22,通函 - [其他] 致登記股東之通知信函及回條,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0922/2025092200176_c.pdf,建業地產,00832
2025-09-22,財務報表/環境、社會及管治資料 - [中期/半年度報告] 二零二五年中期報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0922/2025092200174_c.pdf,建業地產,00832
2025-09-12,公告及通告 - [復牌] 交易所通告 - 復牌,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0912/2025091200108_c.htm,恒大物业,06666
2025-09-11,公告及通告 - [短暫停牌] 短暫停牌,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0911/2025091100008_c.pdf,恒大物业,06666
2025-09-11,公告及通告 - [短暫停牌] 交易所通告 - 短暫停牌,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0911/2025091100102_c.htm,恒大物业,06666
2025-09-11,公告及通告 - [內幕消息 / 《收購守則》所指的受要約公司刊發的公告 / 復牌] 根據收購守則第3.7條、上市規則第13.09條及證券及期貨條例第XIVA部項下的內幕消息條文作出的公告及恢復買賣,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0911/2025091101411_c.pdf,恒大物业,06666
2025-09-10,公告及通告 - [內幕消息] 公告2025年8月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0910/2025091000984_c.pdf,建業地產,00832
2025-09-04,月報表 截至二零二五年八月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0904/2025090400634_c.pdf,恒大物业,06666
2025-09-03,月報表 截至二零二五年八月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0903/2025090301209_c.pdf,建業地產,00832
2025-08-29,公告及通告 - [中期業績 / 核數師發出「非標準報告」] 截至2025年6月30日止六個月未經審核之中期業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0829/2025082902585_c.pdf,恒大物业,06666
2025-08-29,公告及通告 - [中期業績] 截至2025年6月30日止六個月中期業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0829/2025082902823_c.pdf,建業地產,00832
2025-08-19,公告及通告 - [董事會召開日期] 董事會會議召開日期,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0819/2025081901427_c.pdf,恒大物业,06666
2025-08-15,公告及通告 - [董事會召開日期] 董事會會議召開日期,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0815/2025081501315_c.pdf,建業地產,00832
2025-08-15,公告及通告 - [盈利警告 / 內幕消息] 內幕消息盈利警告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0815/2025081501303_c.pdf,建業地產,00832
2025-08-13,公告及通告 - [內幕消息] 公告2025年7月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0813/2025081300320_c.pdf,建業地產,00832
2025-08-06,月報表 截至二零二五年七月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0806/2025080600777_c.pdf,恒大物业,06666
2025-08-06,月報表 截至二零二五年七月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0806/2025080600436_c.pdf,建業地產,00832
2025-07-21,公告及通告 - [提名委員會的職權範圍] 提名委員會職權範圍,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0721/2025072101089_c.pdf,恒大物业,06666
2025-07-21,公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換提名委員會成員] 委任提名委員會成員,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0721/2025072101093_c.pdf,恒大物业,06666
2025-07-21,公告及通告 - [董事名單和他們的地位和作用] 董事名單及其角色和職能,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0721/2025072101095_c.pdf,恒大物业,06666
